time_ns,node_id,port_id,q_id,bytes,op
267736,3,0,,,resume
267736,3,0,,,pause
267902,2,0,,,pause
267902,3,0,,,resume
267902,3,0,,,pause
267985,1,0,,,resume
267985,2,0,,,resume
267985,1,0,,,pause
268068,2,0,,,pause
268151,2,0,,,resume
268151,2,0,,,pause
268151,2,0,,,resume
268234,2,0,,,pause
268317,2,0,,,resume
268317,2,0,,,pause
268483,2,0,,,resume
268483,2,0,,,pause
269075,0,0,,,resume
269573,1,0,,,resume
269728,3,0,,,resume
270143,2,0,,,resume
274044,0,0,,,pause
274044,0,0,,,resume
274210,0,0,,,pause
274210,0,0,,,resume
274293,0,0,,,pause
274376,0,0,,,resume
274376,0,0,,,pause
274387,0,0,,,resume
274459,1,0,,,pause
274459,1,0,,,resume
274542,0,0,,,pause
274542,0,0,,,resume
274542,0,0,,,pause
274708,1,0,,,pause
274708,1,0,,,resume
274791,0,0,,,resume
274791,1,0,,,pause
274791,0,0,,,pause
274874,1,0,,,resume
274874,1,0,,,pause
274957,1,0,,,resume
274957,1,0,,,pause
274957,1,0,,,resume
275029,2,0,,,pause
275040,1,0,,,pause
275112,2,0,,,resume
275289,1,0,,,resume
275289,2,0,,,pause
275289,1,0,,,pause
275289,2,0,,,resume
275372,2,0,,,pause
275455,2,0,,,resume
275455,2,0,,,pause
275466,2,0,,,resume
275527,2,0,,,pause
275538,3,0,,,pause
275538,3,0,,,resume
275610,2,0,,,resume
275610,2,0,,,pause
275859,3,0,,,pause
275859,3,0,,,resume
275859,3,0,,,pause
275870,2,0,,,resume
275870,2,0,,,pause
275942,3,0,,,resume
275942,3,0,,,pause
276036,3,0,,,resume
276036,3,0,,,pause
276036,3,0,,,resume
276119,3,0,,,pause
276357,3,0,,,resume
276357,3,0,,,pause
276379,0,0,,,resume
276949,1,0,,,resume
277458,2,0,,,resume
278028,3,0,,,resume
281763,0,0,,,pause
281763,0,0,,,resume
281846,1,0,,,pause
281846,1,0,,,resume
282001,0,0,,,pause
282001,0,0,,,resume
282012,0,0,,,pause
282012,1,0,,,pause
282012,0,0,,,resume
282095,1,0,,,resume
282095,1,0,,,pause
282095,1,0,,,resume
282167,0,0,,,pause
282167,0,0,,,resume
282178,1,0,,,pause
282250,0,0,,,pause
282261,1,0,,,resume
282261,1,0,,,pause
282344,2,0,,,pause
282344,0,0,,,resume
282344,2,0,,,resume
282344,0,0,,,pause
282427,1,0,,,resume
282427,1,0,,,pause
282593,2,0,,,pause
282593,2,0,,,resume
282748,2,0,,,pause
282748,2,0,,,resume
282831,2,0,,,pause
282831,2,0,,,resume
282914,2,0,,,pause
282914,2,0,,,resume
282997,2,0,,,pause
283174,2,0,,,resume
283174,3,0,,,pause
283174,2,0,,,pause
283257,3,0,,,resume
283423,3,0,,,pause
283423,3,0,,,resume
283495,3,0,,,pause
283589,3,0,,,resume
283589,3,0,,,pause
283672,3,0,,,resume
283672,3,0,,,pause
283672,3,0,,,resume
283755,3,0,,,pause
284004,3,0,,,resume
284004,3,0,,,pause
284253,1,0,,,resume
284336,0,0,,,resume
285166,2,0,,,resume
285664,3,0,,,resume
289482,0,0,,,pause
289482,0,0,,,resume
289637,0,0,,,pause
289720,0,0,,,resume
289720,0,0,,,pause
289814,0,0,,,resume
289814,0,0,,,pause
289897,0,0,,,resume
289897,0,0,,,pause
289991,0,0,,,resume
290052,0,0,,,pause
290063,1,0,,,pause
290063,1,0,,,resume
290301,1,0,,,pause
290301,1,0,,,resume
290301,1,0,,,pause
290301,1,0,,,resume
290384,1,0,,,pause
290467,1,0,,,resume
290467,1,0,,,pause
290644,1,0,,,resume
290644,1,0,,,pause
290882,2,0,,,pause
290965,2,0,,,resume
291059,2,0,,,pause
291131,3,0,,,pause
291142,2,0,,,resume
291142,2,0,,,pause
291142,2,0,,,resume
291214,3,0,,,resume
291225,2,0,,,pause
291236,2,0,,,resume
291297,2,0,,,pause
291297,3,0,,,pause
291380,3,0,,,resume
291380,3,0,,,pause
291463,3,0,,,resume
291463,3,0,,,pause
291474,2,0,,,resume
291474,2,0,,,pause
291557,3,0,,,resume
291557,3,0,,,pause
291723,3,0,,,resume
291723,3,0,,,pause
291889,0,0,,,resume
292636,1,0,,,resume
293289,2,0,,,resume
293311,3,0,,,resume
297439,0,0,,,pause
297439,0,0,,,resume
297616,0,0,,,pause
297699,0,0,,,resume
297699,0,0,,,pause
297699,0,0,,,resume
297782,0,0,,,pause
297793,0,0,,,resume
297937,0,0,,,pause
298020,0,0,,,resume
298020,0,0,,,pause
298363,1,0,,,pause
298363,1,0,,,resume
298446,3,0,,,pause
298446,3,0,,,resume
298518,1,0,,,pause
298590,2,0,,,pause
298601,1,0,,,resume
298601,1,0,,,pause
298695,2,0,,,resume
298695,1,0,,,resume
298695,3,0,,,pause
298695,1,0,,,pause
298695,3,0,,,resume
298778,3,0,,,pause
298778,1,0,,,resume
298778,1,0,,,pause
298861,2,0,,,pause
298861,3,0,,,resume
298861,3,0,,,pause
298861,2,0,,,resume
298872,1,0,,,resume
298922,2,0,,,pause
298933,1,0,,,pause
298944,3,0,,,resume
298944,3,0,,,pause
298944,3,0,,,resume
299027,2,0,,,resume
299027,3,0,,,pause
299027,2,0,,,pause
299110,2,0,,,resume
299110,2,0,,,pause
299110,2,0,,,resume
299193,2,0,,,pause
299254,3,0,,,resume
299337,3,0,,,pause
299442,2,0,,,resume
299442,2,0,,,pause
300012,0,0,,,resume
300698,1,0,,,resume
300936,3,0,,,resume
301102,2,0,,,resume
305811,1,0,,,pause
305811,1,0,,,resume
305916,1,0,,,pause
305977,0,0,,,pause
305999,1,0,,,resume
305999,1,0,,,pause
305999,1,0,,,resume
306082,0,0,,,resume
306082,1,0,,,pause
306154,3,0,,,pause
306154,3,0,,,resume
306165,0,0,,,pause
306165,1,0,,,resume
306165,1,0,,,pause
306248,0,0,,,resume
306248,0,0,,,pause
306248,0,0,,,resume
306309,1,0,,,resume
306320,3,0,,,pause
306331,0,0,,,pause
306392,1,0,,,pause
306403,3,0,,,resume
306403,3,0,,,pause
306414,0,0,,,resume
306414,0,0,,,pause
306497,3,0,,,resume
306497,3,0,,,pause
306569,2,0,,,pause
306580,0,0,,,resume
306580,3,0,,,resume
306580,0,0,,,pause
306580,3,0,,,pause
306580,3,0,,,resume
306652,2,0,,,resume
306663,3,0,,,pause
306818,2,0,,,pause
306901,2,0,,,resume
306901,2,0,,,pause
306912,3,0,,,resume
306912,3,0,,,pause
306995,2,0,,,resume
306995,2,0,,,pause
307078,2,0,,,resume
307078,2,0,,,pause
307078,2,0,,,resume
307161,2,0,,,pause
307410,2,0,,,resume
307410,2,0,,,pause
308146,1,0,,,resume
308240,0,0,,,resume
308572,3,0,,,resume
309070,2,0,,,resume
313386,0,0,,,pause
313386,0,0,,,resume
313552,0,0,,,pause
313563,0,0,,,resume
313624,0,0,,,pause
313707,3,0,,,pause
313718,0,0,,,resume
313718,0,0,,,pause
313801,3,0,,,resume
313801,0,0,,,resume
313801,0,0,,,pause
313884,3,0,,,pause
313895,0,0,,,resume
313967,1,0,,,pause
313967,3,0,,,resume
313967,1,0,,,resume
313967,3,0,,,pause
313967,3,0,,,resume
314028,0,0,,,pause
314111,1,0,,,pause
314122,3,0,,,pause
314122,3,0,,,resume
314122,3,0,,,pause
314205,1,0,,,resume
314205,1,0,,,pause
314205,1,0,,,resume
314288,3,0,,,resume
314288,1,0,,,pause
314288,3,0,,,pause
314371,1,0,,,resume
314371,1,0,,,pause
314548,1,0,,,resume
314548,1,0,,,pause
314797,2,0,,,pause
314797,2,0,,,resume
314963,2,0,,,pause
315046,2,0,,,resume
315046,2,0,,,pause
315046,2,0,,,resume
315129,2,0,,,pause
315140,2,0,,,resume
315201,2,0,,,pause
315378,2,0,,,resume
315378,2,0,,,pause
315937,0,0,,,resume
315959,3,0,,,resume
316302,1,0,,,resume
317132,2,0,,,resume
321603,3,0,,,pause
321614,3,0,,,resume
321653,1,0,,,pause
321653,1,0,,,resume
321675,3,0,,,pause
321686,0,0,,,pause
321686,0,0,,,resume
321769,1,0,,,pause
321852,0,0,,,pause
321852,1,0,,,resume
321852,1,0,,,pause
321852,1,0,,,resume
321935,0,0,,,resume
321935,1,0,,,pause
321935,0,0,,,pause
321935,0,0,,,resume
322018,1,0,,,resume
322018,0,0,,,pause
322018,1,0,,,pause
322101,0,0,,,resume
322101,0,0,,,pause
322184,1,0,,,resume
322184,1,0,,,pause
322195,0,0,,,resume
322234,0,0,,,pause
322682,2,0,,,pause
322765,2,0,,,resume
322920,2,0,,,pause
323606,3,0,,,resume
323938,1,0,,,resume
324187,0,0,,,resume
324685,2,0,,,resume
328741,3,0,,,pause
328741,3,0,,,resume
328907,3,0,,,pause
328918,3,0,,,resume
328990,1,0,,,pause
328990,1,0,,,resume
329073,3,0,,,pause
329073,3,0,,,resume
329073,3,0,,,pause
329156,3,0,,,resume
329156,3,0,,,pause
329239,1,0,,,pause
329239,1,0,,,resume
329239,1,0,,,pause
329239,1,0,,,resume
329322,3,0,,,resume
329322,1,0,,,pause
329322,3,0,,,pause
329333,1,0,,,resume
329488,1,0,,,pause
